a	0	19	19	21	6	1	0
0	4	4	-1	1	-1	-1	0	-1
1	5	4	-1	2	-1	0	-1	-1
2	6	4	-1	3	-1	1	-1	-1
3	7	4	-1	4	-1	2	-1	-1
4	8	4	-1	5	-1	3	1	-1
5	9	4	-1	6	-1	4	-1	-1
6	10	4	-1	7	-1	5	-1	-1
7	11	4	-1	8	-1	6	-1	-1
8	12	4	-1	9	-1	7	2	-1
9	13	4	-1	10	-1	8	-1	-1
10	14	4	-1	11	-1	9	-1	-1
11	15	4	-1	12	-1	10	-1	-1
12	16	4	-1	13	-1	11	3	-1
13	17	4	-1	14	-1	12	-1	-1
14	18	4	-1	15	-1	13	-1	0
15	19	4	-1	16	-1	14	-1	-1
16	20	4	-1	17	-1	15	4	-1
17	21	4	-1	18	-1	16	-1	-1
18	22	4	-1	19	-1	17	-1	-1
19	23	4	-1	20	-1	18	-1	-1
20	24	4	-1	-1	-1	19	5	-1
